Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20241203,TX     ,202412     ,150000,23086,112,-,-,*
20241203,TX     ,202412     ,150000,23086,2,-,-, 
20241203,TX     ,202412     ,150000,23085,2,-,-, 
20241203,TX     ,202412     ,150000,23085,2,-,-, 
20241203,TX     ,202412     ,150000,23086,14,-,-, 
20241203,TX     ,202412     ,150000,23087,4,-,-, 
20241203,TX     ,202412     ,150000,23091,4,-,-, 
20241203,TX     ,202412     ,150000,23094,2,-,-, 
20241203,TX     ,202412     ,150000,23095,2,-,-, 
20241203,TX     ,202412     ,150000,23087,2,-,-, 
20241203,TX     ,202412     ,150000,23084,2,-,-, 
20241203,TX     ,202412     ,150000,23083,2,-,-, 
20241203,TX     ,202412     ,150000,23096,6,-,-, 
20241203,TX     ,202412     ,150000,23098,4,-,-, 
20241203,TX     ,202412     ,150000,23093,2,-,-, 
20241203,TX     ,202412     ,150000,23088,2,-,-, 
20241203,TX     ,202412     ,150000,23086,2,-,-, 
20241203,TX     ,202412     ,150000,23093,2,-,-, 
20241203,TX     ,202412     ,150000,23092,2,-,-, 
20241203,TX     ,202412     ,150000,23095,2,-,-, 
20241203,TX     ,202412     ,150000,23095,4,-,-, 
20241203,TX     ,202412     ,150000,23097,2,-,-, 
20241203,TX     ,202412     ,150000,23097,2,-,-, 
20241203,TX     ,202412     ,150000,23098,2,-,-, 
20241203,TX     ,202412     ,150000,23099,2,-,-, 
20241203,TX     ,202412     ,150000,23099,2,-,-, 
20241203,TX     ,202412     ,150000,23099,4,-,-, 
20241203,TX     ,202412     ,150000,23100,8,-,-, 
20241203,TX     ,202412     ,150000,23100,4,-,-, 
20241203,TX     ,202412     ,150000,23102,2,-,-, 
20241203,TX     ,202412     ,150000,23091,2,-,-, 
20241203,TX     ,202412     ,150000,23092,2,-,-, 
20241203,TX     ,202412     ,150000,23093,2,-,-, 
20241203,TX     ,202412     ,150000,23094,2,-,-, 
20241203,TX     ,202412     ,150000,23095,2,-,-, 
20241203,TX     ,202412     ,150000,23096,2,-,-, 
20241203,TX     ,202412     ,150000,23097,2,-,-, 
20241203,TX     ,202412     ,150000,23087,2,-,-, 
20241203,TX     ,202412     ,150001,23086,2,-,-, 
20241203,TX     ,202412     ,150001,23085,2,-,-, 
20241203,TX     ,202412     ,150001,23085,2,-,-, 
20241203,TX     ,202412     ,150001,23094,4,-,-, 
20241203,TX     ,202412     ,150001,23095,2,-,-, 
20241203,TX     ,202412     ,150001,23096,6,-,-, 
20241203,TX     ,202412     ,150001,23097,2,-,-, 
20241203,TX     ,202412     ,150001,23098,6,-,-, 
20241203,TX     ,202412     ,150001,23099,4,-,-, 
20241203,TX     ,202412     ,150001,23098,2,-,-, 
20241203,TX     ,202412     ,150001,23100,4,-,-, 
20241203,TX     ,202412     ,150001,23102,12,-,-, 
20241203,TX     ,202412     ,150001,23089,2,-,-, 
20241203,TX     ,202412     ,150001,23088,2,-,-, 
20241203,TX     ,202412     ,150001,23101,4,-,-, 
20241203,TX     ,202412     ,150001,23102,2,-,-, 
20241203,TX     ,202412     ,150002,23090,2,-,-, 
20241203,TX     ,202412     ,150002,23089,2,-,-, 
20241203,TX     ,202412     ,150002,23095,2,-,-, 
20241203,TX     ,202412     ,150002,23092,2,-,-, 
20241203,TX     ,202412     ,150002,23098,4,-,-, 
20241203,TX     ,202412     ,150003,23093,2,-,-, 
20241203,TX     ,202412     ,150003,23092,2,-,-, 
20241203,TX     ,202412     ,150004,23091,4,-,-, 
20241203,TX     ,202412     ,150004,23090,2,-,-, 
20241203,TX     ,202412     ,150004,23096,2,-,-, 
20241203,TX     ,202412     ,150005,23094,2,-,-, 
20241203,TX     ,202412     ,150005,23093,2,-,-, 
20241203,TX     ,202412     ,150005,23092,2,-,-, 
20241203,TX     ,202412     ,150005,23091,2,-,-, 
20241203,TX     ,202412     ,150005,23091,2,-,-, 
20241203,TX     ,202412     ,150005,23090,2,-,-, 
20241203,TX     ,202412     ,150005,23090,2,-,-, 
20241203,TX     ,202412     ,150005,23089,2,-,-, 
20241203,TX     ,202412     ,150005,23089,2,-,-, 
20241203,TX     ,202412     ,150005,23088,2,-,-, 
20241203,TX     ,202412     ,150005,23088,4,-,-, 
20241203,TX     ,202412     ,150005,23090,2,-,-, 
20241203,TX     ,202412     ,150005,23089,2,-,-, 
20241203,TX     ,202412     ,150005,23088,12,-,-, 
20241203,TX     ,202412     ,150006,23092,2,-,-, 
20241203,TX     ,202412     ,150006,23092,2,-,-, 
20241203,TX     ,202412     ,150006,23091,2,-,-, 
20241203,TX     ,202412     ,150007,23090,8,-,-, 
20241203,TX     ,202412     ,150009,23091,2,-,-, 
20241203,TX     ,202412     ,150011,23092,2,-,-, 
20241203,TX     ,202412     ,150012,23093,6,-,-, 
20241203,TX     ,202412     ,150012,23094,2,-,-, 
20241203,TX     ,202412     ,150012,23095,2,-,-, 
20241203,TX     ,202412     ,150012,23096,2,-,-, 
20241203,TX     ,202412     ,150012,23092,2,-,-, 
20241203,TX     ,202412     ,150013,23094,2,-,-, 
20241203,TX     ,202412     ,150013,23094,2,-,-, 
20241203,TX     ,202412     ,150015,23096,2,-,-, 
20241203,TX     ,202412     ,150015,23095,2,-,-, 
20241203,TX     ,202412     ,150015,23096,2,-,-, 
20241203,TX     ,202412     ,150015,23097,2,-,-, 
20241203,TX     ,202412     ,150015,23097,2,-,-, 
20241203,TX     ,202412     ,150015,23094,2,-,-, 
20241203,TX     ,202412     ,150016,23093,2,-,-, 
20241203,TX     ,202412     ,150016,23094,2,-,-, 
20241203,TX     ,202412     ,150016,23095,4,-,-, 
20241203,TX     ,202412     ,150016,23095,2,-,-, 
20241203,TX     ,202412     ,150016,23095,2,-,-, 
20241203,TX     ,202412     ,150016,23095,2,-,-, 
20241203,TX     ,202412     ,150020,23094,2,-,-, 
20241203,TX     ,202412     ,150021,23094,2,-,-, 
20241203,TX     ,202412     ,150021,23093,2,-,-, 
20241203,TX     ,202412     ,150021,23093,2,-,-, 
20241203,TX     ,202412     ,150021,23093,2,-,-, 
20241203,TX     ,202412     ,150021,23095,2,-,-, 
20241203,TX     ,202412     ,150021,23096,2,-,-, 
20241203,TX     ,202412     ,150022,23092,2,-,-, 
20241203,TX     ,202412     ,150023,23092,2,-,-, 
20241203,TX     ,202412     ,150023,23094,2,-,-, 
20241203,TX     ,202412     ,150023,23092,2,-,-, 
20241203,TX     ,202412     ,150023,23092,2,-,-, 
20241203,TX     ,202412     ,150023,23092,2,-,-, 
20241203,TX     ,202412     ,150023,23092,2,-,-, 
20241203,TX     ,202412     ,150024,23091,2,-,-, 
20241203,TX     ,202412     ,150024,23091,2,-,-, 
20241203,TX     ,202412     ,150024,23091,2,-,-, 
20241203,TX     ,202412     ,150024,23091,2,-,-, 
20241203,TX     ,202412     ,150024,23091,2,-,-, 
20241203,TX     ,202412     ,150024,23090,2,-,-, 
20241203,TX     ,202412     ,150024,23090,2,-,-, 
20241203,TX     ,202412     ,150025,23090,4,-,-, 
20241203,TX     ,202412     ,150025,23090,2,-,-, 
20241203,TX     ,202412     ,150025,23090,2,-,-, 
20241203,TX     ,202412     ,150025,23090,2,-,-, 
20241203,TX     ,202412     ,150025,23090,4,-,-, 
20241203,TX     ,202412     ,150025,23089,2,-,-, 
