Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250522,TX     ,202506     ,150000,21508,58,-,-,*
20250522,TX     ,202506     ,150000,21508,2,-,-, 
20250522,TX     ,202506     ,150000,21509,6,-,-, 
20250522,TX     ,202506     ,150000,21509,6,-,-, 
20250522,TX     ,202506     ,150000,21510,6,-,-, 
20250522,TX     ,202506     ,150000,21511,2,-,-, 
20250522,TX     ,202506     ,150000,21512,6,-,-, 
20250522,TX     ,202506     ,150000,21513,2,-,-, 
20250522,TX     ,202506     ,150000,21512,2,-,-, 
20250522,TX     ,202506     ,150000,21513,4,-,-, 
20250522,TX     ,202506     ,150000,21510,2,-,-, 
20250522,TX     ,202506     ,150000,21514,2,-,-, 
20250522,TX     ,202506     ,150000,21515,2,-,-, 
20250522,TX     ,202506     ,150001,21512,8,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21517,2,-,-, 
20250522,TX     ,202506     ,150001,21517,2,-,-, 
20250522,TX     ,202506     ,150001,21517,2,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21517,4,-,-, 
20250522,TX     ,202506     ,150001,21516,2,-,-, 
20250522,TX     ,202506     ,150001,21517,2,-,-, 
20250522,TX     ,202506     ,150001,21518,2,-,-, 
20250522,TX     ,202506     ,150001,21518,2,-,-, 
20250522,TX     ,202506     ,150001,21518,2,-,-, 
20250522,TX     ,202506     ,150001,21514,2,-,-, 
20250522,TX     ,202506     ,150001,21513,2,-,-, 
20250522,TX     ,202506     ,150002,21517,4,-,-, 
20250522,TX     ,202506     ,150002,21517,2,-,-, 
20250522,TX     ,202506     ,150002,21517,22,-,-, 
20250522,TX     ,202506     ,150002,21515,2,-,-, 
20250522,TX     ,202506     ,150002,21516,2,-,-, 
20250522,TX     ,202506     ,150002,21516,2,-,-, 
20250522,TX     ,202506     ,150002,21515,4,-,-, 
20250522,TX     ,202506     ,150002,21515,12,-,-, 
20250522,TX     ,202506     ,150002,21515,2,-,-, 
20250522,TX     ,202506     ,150002,21515,2,-,-, 
20250522,TX     ,202506     ,150002,21515,6,-,-, 
20250522,TX     ,202506     ,150002,21514,2,-,-, 
20250522,TX     ,202506     ,150003,21515,2,-,-, 
20250522,TX     ,202506     ,150003,21514,2,-,-, 
20250522,TX     ,202506     ,150003,21513,2,-,-, 
20250522,TX     ,202506     ,150003,21513,2,-,-, 
20250522,TX     ,202506     ,150004,21514,2,-,-, 
20250522,TX     ,202506     ,150004,21513,2,-,-, 
20250522,TX     ,202506     ,150004,21515,6,-,-, 
