Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20241205,TX     ,202412     ,150000,23268,136,-,-,*
20241205,TX     ,202412     ,150000,23268,2,-,-, 
20241205,TX     ,202412     ,150000,23269,4,-,-, 
20241205,TX     ,202412     ,150000,23270,6,-,-, 
20241205,TX     ,202412     ,150000,23271,8,-,-, 
20241205,TX     ,202412     ,150000,23272,2,-,-, 
20241205,TX     ,202412     ,150000,23274,10,-,-, 
20241205,TX     ,202412     ,150000,23275,2,-,-, 
20241205,TX     ,202412     ,150000,23265,2,-,-, 
20241205,TX     ,202412     ,150000,23274,2,-,-, 
20241205,TX     ,202412     ,150000,23274,2,-,-, 
20241205,TX     ,202412     ,150000,23265,2,-,-, 
20241205,TX     ,202412     ,150000,23275,2,-,-, 
20241205,TX     ,202412     ,150000,23272,4,-,-, 
20241205,TX     ,202412     ,150000,23275,2,-,-, 
20241205,TX     ,202412     ,150000,23272,4,-,-, 
20241205,TX     ,202412     ,150001,23275,2,-,-, 
20241205,TX     ,202412     ,150003,23268,2,-,-, 
20241205,TX     ,202412     ,150004,23265,2,-,-, 
20241205,TX     ,202412     ,150004,23264,2,-,-, 
20241205,TX     ,202412     ,150005,23266,2,-,-, 
20241205,TX     ,202412     ,150005,23265,2,-,-, 
20241205,TX     ,202412     ,150005,23264,2,-,-, 
20241205,TX     ,202412     ,150005,23263,2,-,-, 
20241205,TX     ,202412     ,150005,23263,2,-,-, 
20241205,TX     ,202412     ,150006,23263,2,-,-, 
20241205,TX     ,202412     ,150006,23262,2,-,-, 
20241205,TX     ,202412     ,150007,23262,2,-,-, 
20241205,TX     ,202412     ,150007,23262,2,-,-, 
20241205,TX     ,202412     ,150007,23261,2,-,-, 
20241205,TX     ,202412     ,150007,23260,2,-,-, 
20241205,TX     ,202412     ,150007,23263,2,-,-, 
20241205,TX     ,202412     ,150009,23259,2,-,-, 
20241205,TX     ,202412     ,150010,23257,2,-,-, 
20241205,TX     ,202412     ,150011,23255,2,-,-, 
20241205,TX     ,202412     ,150012,23260,2,-,-, 
20241205,TX     ,202412     ,150013,23258,2,-,-, 
20241205,TX     ,202412     ,150014,23256,2,-,-, 
20241205,TX     ,202412     ,150015,23257,2,-,-, 
20241205,TX     ,202412     ,150015,23257,2,-,-, 
20241205,TX     ,202412     ,150015,23256,2,-,-, 
20241205,TX     ,202412     ,150015,23256,2,-,-, 
20241205,TX     ,202412     ,150016,23257,2,-,-, 
20241205,TX     ,202412     ,150017,23257,2,-,-, 
20241205,TX     ,202412     ,150017,23257,2,-,-, 
20241205,TX     ,202412     ,150019,23259,2,-,-, 
20241205,TX     ,202412     ,150022,23258,2,-,-, 
20241205,TX     ,202412     ,150024,23259,8,-,-, 
20241205,TX     ,202412     ,150024,23260,2,-,-, 
20241205,TX     ,202412     ,150024,23259,2,-,-, 
20241205,TX     ,202412     ,150024,23260,4,-,-, 
20241205,TX     ,202412     ,150024,23261,8,-,-, 
20241205,TX     ,202412     ,150024,23262,6,-,-, 
20241205,TX     ,202412     ,150024,23262,2,-,-, 
20241205,TX     ,202412     ,150024,23263,4,-,-, 
20241205,TX     ,202412     ,150024,23259,2,-,-, 
20241205,TX     ,202412     ,150024,23263,2,-,-, 
20241205,TX     ,202412     ,150024,23264,2,-,-, 
20241205,TX     ,202412     ,150024,23265,6,-,-, 
20241205,TX     ,202412     ,150024,23266,4,-,-, 
20241205,TX     ,202412     ,150024,23266,8,-,-, 
20241205,TX     ,202412     ,150024,23267,4,-,-, 
20241205,TX     ,202412     ,150024,23268,2,-,-, 
20241205,TX     ,202412     ,150024,23269,2,-,-, 
20241205,TX     ,202412     ,150024,23268,2,-,-, 
20241205,TX     ,202412     ,150024,23268,14,-,-, 
20241205,TX     ,202412     ,150025,23263,2,-,-, 
20241205,TX     ,202412     ,150028,23261,2,-,-, 
20241205,TX     ,202412     ,150031,23262,2,-,-, 
20241205,TX     ,202412     ,150031,23262,6,-,-, 
20241205,TX     ,202412     ,150031,23263,2,-,-, 
20241205,TX     ,202412     ,150032,23264,2,-,-, 
20241205,TX     ,202412     ,150032,23265,4,-,-, 
20241205,TX     ,202412     ,150032,23266,4,-,-, 
20241205,TX     ,202412     ,150035,23263,2,-,-, 
