Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250415,TX     ,202504     ,150000,19810,108,-,-,*
20250415,TX     ,202504     ,150000,19807,2,-,-, 
20250415,TX     ,202504     ,150000,19806,2,-,-, 
20250415,TX     ,202504     ,150000,19810,2,-,-, 
20250415,TX     ,202504     ,150000,19810,2,-,-, 
20250415,TX     ,202504     ,150000,19805,2,-,-, 
20250415,TX     ,202504     ,150000,19810,16,-,-, 
20250415,TX     ,202504     ,150000,19805,2,-,-, 
20250415,TX     ,202504     ,150000,19804,2,-,-, 
20250415,TX     ,202504     ,150000,19803,2,-,-, 
20250415,TX     ,202504     ,150000,19802,2,-,-, 
20250415,TX     ,202504     ,150000,19808,2,-,-, 
20250415,TX     ,202504     ,150000,19809,2,-,-, 
20250415,TX     ,202504     ,150001,19804,2,-,-, 
20250415,TX     ,202504     ,150002,19808,2,-,-, 
20250415,TX     ,202504     ,150002,19808,2,-,-, 
20250415,TX     ,202504     ,150004,19807,4,-,-, 
20250415,TX     ,202504     ,150004,19803,2,-,-, 
20250415,TX     ,202504     ,150005,19807,2,-,-, 
20250415,TX     ,202504     ,150006,19803,2,-,-, 
20250415,TX     ,202504     ,150007,19802,2,-,-, 
20250415,TX     ,202504     ,150007,19802,2,-,-, 
20250415,TX     ,202504     ,150007,19800,2,-,-, 
20250415,TX     ,202504     ,150007,19800,4,-,-, 
20250415,TX     ,202504     ,150008,19800,2,-,-, 
20250415,TX     ,202504     ,150008,19800,2,-,-, 
20250415,TX     ,202504     ,150008,19800,2,-,-, 
20250415,TX     ,202504     ,150009,19799,2,-,-, 
20250415,TX     ,202504     ,150009,19799,2,-,-, 
20250415,TX     ,202504     ,150009,19798,2,-,-, 
20250415,TX     ,202504     ,150010,19799,2,-,-, 
20250415,TX     ,202504     ,150010,19799,4,-,-, 
20250415,TX     ,202504     ,150010,19798,2,-,-, 
20250415,TX     ,202504     ,150010,19798,2,-,-, 
20250415,TX     ,202504     ,150011,19797,2,-,-, 
20250415,TX     ,202504     ,150011,19801,2,-,-, 
20250415,TX     ,202504     ,150012,19801,2,-,-, 
20250415,TX     ,202504     ,150012,19799,18,-,-, 
20250415,TX     ,202504     ,150013,19800,2,-,-, 
20250415,TX     ,202504     ,150013,19802,4,-,-, 
20250415,TX     ,202504     ,150014,19800,2,-,-, 
20250415,TX     ,202504     ,150015,19800,2,-,-, 
20250415,TX     ,202504     ,150015,19802,2,-,-, 
20250415,TX     ,202504     ,150015,19799,22,-,-, 
20250415,TX     ,202504     ,150015,19797,2,-,-, 
20250415,TX     ,202504     ,150016,19800,4,-,-, 
20250415,TX     ,202504     ,150017,19798,2,-,-, 
20250415,TX     ,202504     ,150017,19797,2,-,-, 
20250415,TX     ,202504     ,150021,19799,2,-,-, 
20250415,TX     ,202504     ,150024,19797,2,-,-, 
20250415,TX     ,202504     ,150024,19797,2,-,-, 
20250415,TX     ,202504     ,150024,19797,2,-,-, 
20250415,TX     ,202504     ,150024,19797,2,-,-, 
20250415,TX     ,202504     ,150024,19799,6,-,-, 
20250415,TX     ,202504     ,150024,19800,2,-,-, 
20250415,TX     ,202504     ,150026,19799,2,-,-, 
20250415,TX     ,202504     ,150029,19799,2,-,-, 
20250415,TX     ,202504     ,150031,19800,6,-,-, 
20250415,TX     ,202504     ,150031,19800,2,-,-, 
20250415,TX     ,202504     ,150031,19801,2,-,-, 
20250415,TX     ,202504     ,150033,19800,4,-,-, 
20250415,TX     ,202504     ,150040,19800,2,-,-, 
20250415,TX     ,202504     ,150040,19802,2,-,-, 
20250415,TX     ,202504     ,150040,19802,4,-,-, 
20250415,TX     ,202504     ,150040,19803,2,-,-, 
20250415,TX     ,202504     ,150041,19803,2,-,-, 
20250415,TX     ,202504     ,150043,19802,2,-,-, 
20250415,TX     ,202504     ,150045,19803,2,-,-, 
20250415,TX     ,202504     ,150045,19803,2,-,-, 
20250415,TX     ,202504     ,150047,19803,2,-,-, 
20250415,TX     ,202504     ,150051,19805,4,-,-, 
20250415,TX     ,202504     ,150052,19805,2,-,-, 
20250415,TX     ,202504     ,150056,19807,2,-,-, 
20250415,TX     ,202504     ,150057,19807,2,-,-, 
20250415,TX     ,202504     ,150058,19805,2,-,-, 
20250415,TX     ,202504     ,150100,19804,2,-,-, 
20250415,TX     ,202504     ,150100,19804,2,-,-, 
20250415,TX     ,202504     ,150100,19804,2,-,-, 
20250415,TX     ,202504     ,150100,19803,2,-,-, 
20250415,TX     ,202504     ,150100,19803,2,-,-, 
20250415,TX     ,202504     ,150100,19801,2,-,-, 
20250415,TX     ,202504     ,150100,19801,2,-,-, 
20250415,TX     ,202504     ,150100,19800,2,-,-, 
20250415,TX     ,202504     ,150100,19800,2,-,-, 
20250415,TX     ,202504     ,150100,19800,2,-,-, 
20250415,TX     ,202504     ,150101,19801,2,-,-, 
20250415,TX     ,202504     ,150101,19802,10,-,-, 
20250415,TX     ,202504     ,150101,19803,4,-,-, 
20250415,TX     ,202504     ,150101,19805,4,-,-, 
20250415,TX     ,202504     ,150102,19805,2,-,-, 
20250415,TX     ,202504     ,150103,19805,2,-,-, 
20250415,TX     ,202504     ,150103,19802,2,-,-, 
20250415,TX     ,202504     ,150107,19804,2,-,-, 
20250415,TX     ,202504     ,150109,19804,2,-,-, 
20250415,TX     ,202504     ,150110,19803,4,-,-, 
20250415,TX     ,202504     ,150111,19803,2,-,-, 
20250415,TX     ,202504     ,150111,19800,2,-,-, 
20250415,TX     ,202504     ,150111,19799,2,-,-, 
20250415,TX     ,202504     ,150111,19799,2,-,-, 
20250415,TX     ,202504     ,150111,19800,2,-,-, 
20250415,TX     ,202504     ,150115,19798,2,-,-, 
20250415,TX     ,202504     ,150115,19798,6,-,-, 
20250415,TX     ,202504     ,150118,19797,2,-,-, 
20250415,TX     ,202504     ,150118,19798,2,-,-, 
20250415,TX     ,202504     ,150121,19798,2,-,-, 
20250415,TX     ,202504     ,150121,19799,2,-,-, 
20250415,TX     ,202504     ,150125,19800,2,-,-, 
20250415,TX     ,202504     ,150125,19800,2,-,-, 
20250415,TX     ,202504     ,150126,19800,2,-,-, 
20250415,TX     ,202504     ,150129,19800,2,-,-, 
20250415,TX     ,202504     ,150129,19801,8,-,-, 
20250415,TX     ,202504     ,150129,19800,2,-,-, 
20250415,TX     ,202504     ,150129,19801,2,-,-, 
20250415,TX     ,202504     ,150132,19801,2,-,-, 
20250415,TX     ,202504     ,150135,19799,2,-,-, 
20250415,TX     ,202504     ,150143,19799,2,-,-, 
20250415,TX     ,202504     ,150146,19802,4,-,-, 
20250415,TX     ,202504     ,150146,19802,4,-,-, 
20250415,TX     ,202504     ,150146,19801,2,-,-, 
20250415,TX     ,202504     ,150147,19802,2,-,-, 
20250415,TX     ,202504     ,150147,19802,2,-,-, 
20250415,TX     ,202504     ,150149,19804,2,-,-, 
20250415,TX     ,202504     ,150149,19805,2,-,-, 
20250415,TX     ,202504     ,150149,19805,2,-,-, 
20250415,TX     ,202504     ,150149,19805,2,-,-, 
20250415,TX     ,202504     ,150149,19806,2,-,-, 
20250415,TX     ,202504     ,150150,19804,2,-,-, 
20250415,TX     ,202504     ,150154,19805,2,-,-, 
20250415,TX     ,202504     ,150155,19806,2,-,-, 
20250415,TX     ,202504     ,150155,19808,2,-,-, 
20250415,TX     ,202504     ,150157,19806,2,-,-, 
20250415,TX     ,202504     ,150157,19806,2,-,-, 
20250415,TX     ,202504     ,150158,19807,2,-,-, 
20250415,TX     ,202504     ,150159,19807,2,-,-, 
20250415,TX     ,202504     ,150200,19807,2,-,-, 
20250415,TX     ,202504     ,150201,19805,2,-,-, 
20250415,TX     ,202504     ,150203,19808,8,-,-, 
20250415,TX     ,202504     ,150203,19809,2,-,-, 
20250415,TX     ,202504     ,150203,19809,6,-,-, 
20250415,TX     ,202504     ,150203,19810,4,-,-, 
20250415,TX     ,202504     ,150203,19810,12,-,-, 
20250415,TX     ,202504     ,150203,19810,6,-,-, 
20250415,TX     ,202504     ,150203,19810,12,-,-, 
20250415,TX     ,202504     ,150203,19810,4,-,-, 
20250415,TX     ,202504     ,150203,19811,4,-,-, 
20250415,TX     ,202504     ,150203,19811,2,-,-, 
20250415,TX     ,202504     ,150203,19811,2,-,-, 
20250415,TX     ,202504     ,150203,19810,4,-,-, 
20250415,TX     ,202504     ,150203,19810,2,-,-, 
20250415,TX     ,202504     ,150203,19810,2,-,-, 
20250415,TX     ,202504     ,150203,19810,2,-,-, 
20250415,TX     ,202504     ,150206,19811,2,-,-, 
20250415,TX     ,202504     ,150206,19811,2,-,-, 
20250415,TX     ,202504     ,150206,19810,20,-,-, 
20250415,TX     ,202504     ,150206,19811,2,-,-, 
20250415,TX     ,202504     ,150209,19809,2,-,-, 
20250415,TX     ,202504     ,150209,19809,2,-,-, 
20250415,TX     ,202504     ,150211,19808,2,-,-, 
20250415,TX     ,202504     ,150212,19808,2,-,-, 
20250415,TX     ,202504     ,150213,19808,2,-,-, 
20250415,TX     ,202504     ,150214,19809,2,-,-, 
20250415,TX     ,202504     ,150215,19808,2,-,-, 
20250415,TX     ,202504     ,150215,19808,2,-,-, 
20250415,TX     ,202504     ,150215,19808,2,-,-, 
20250415,TX     ,202504     ,150219,19807,2,-,-, 
20250415,TX     ,202504     ,150219,19806,2,-,-, 
20250415,TX     ,202504     ,150219,19806,2,-,-, 
20250415,TX     ,202504     ,150219,19806,4,-,-, 
20250415,TX     ,202504     ,150219,19806,2,-,-, 
20250415,TX     ,202504     ,150219,19806,4,-,-, 
20250415,TX     ,202504     ,150219,19806,4,-,-, 
20250415,TX     ,202504     ,150226,19806,2,-,-, 
20250415,TX     ,202504     ,150229,19807,2,-,-, 
20250415,TX     ,202504     ,150232,19806,2,-,-, 
20250415,TX     ,202504     ,150232,19806,2,-,-, 
20250415,TX     ,202504     ,150232,19805,2,-,-, 
20250415,TX     ,202504     ,150232,19805,2,-,-, 
20250415,TX     ,202504     ,150232,19805,2,-,-, 
20250415,TX     ,202504     ,150235,19807,2,-,-, 
20250415,TX     ,202504     ,150237,19808,4,-,-, 
20250415,TX     ,202504     ,150237,19808,4,-,-, 
20250415,TX     ,202504     ,150244,19807,8,-,-, 
20250415,TX     ,202504     ,150244,19808,2,-,-, 
20250415,TX     ,202504     ,150244,19809,2,-,-, 
20250415,TX     ,202504     ,150250,19809,2,-,-, 
20250415,TX     ,202504     ,150250,19809,4,-,-, 
20250415,TX     ,202504     ,150250,19810,2,-,-, 
20250415,TX     ,202504     ,150250,19810,2,-,-, 
20250415,TX     ,202504     ,150250,19810,4,-,-, 
20250415,TX     ,202504     ,150252,19811,2,-,-, 
20250415,TX     ,202504     ,150256,19810,2,-,-, 
20250415,TX     ,202504     ,150258,19809,2,-,-, 
20250415,TX     ,202504     ,150258,19812,2,-,-, 
20250415,TX     ,202504     ,150259,19812,4,-,-, 
20250415,TX     ,202504     ,150301,19812,2,-,-, 
20250415,TX     ,202504     ,150303,19812,4,-,-, 
20250415,TX     ,202504     ,150304,19812,2,-,-, 
20250415,TX     ,202504     ,150309,19811,2,-,-, 
20250415,TX     ,202504     ,150309,19811,2,-,-, 
20250415,TX     ,202504     ,150309,19809,2,-,-, 
20250415,TX     ,202504     ,150310,19807,2,-,-, 
20250415,TX     ,202504     ,150310,19808,2,-,-, 
20250415,TX     ,202504     ,150311,19806,2,-,-, 
20250415,TX     ,202504     ,150312,19807,2,-,-, 
20250415,TX     ,202504     ,150313,19807,2,-,-, 
20250415,TX     ,202504     ,150313,19807,2,-,-, 
20250415,TX     ,202504     ,150313,19807,2,-,-, 
20250415,TX     ,202504     ,150313,19806,2,-,-, 
20250415,TX     ,202504     ,150313,19807,2,-,-, 
20250415,TX     ,202504     ,150315,19805,2,-,-, 
20250415,TX     ,202504     ,150315,19805,2,-,-, 
20250415,TX     ,202504     ,150315,19805,2,-,-, 
20250415,TX     ,202504     ,150315,19806,2,-,-, 
20250415,TX     ,202504     ,150320,19804,4,-,-, 
20250415,TX     ,202504     ,150320,19804,4,-,-, 
20250415,TX     ,202504     ,150320,19803,2,-,-, 
20250415,TX     ,202504     ,150320,19803,4,-,-, 
20250415,TX     ,202504     ,150320,19803,4,-,-, 
20250415,TX     ,202504     ,150321,19804,2,-,-, 
20250415,TX     ,202504     ,150321,19804,2,-,-, 
20250415,TX     ,202504     ,150321,19805,2,-,-, 
20250415,TX     ,202504     ,150321,19805,2,-,-, 
20250415,TX     ,202504     ,150325,19805,2,-,-, 
20250415,TX     ,202504     ,150328,19805,2,-,-, 
20250415,TX     ,202504     ,150333,19803,2,-,-, 
20250415,TX     ,202504     ,150341,19805,2,-,-, 
20250415,TX     ,202504     ,150344,19805,10,-,-, 
20250415,TX     ,202504     ,150351,19805,2,-,-, 
20250415,TX     ,202504     ,150354,19805,2,-,-, 
20250415,TX     ,202504     ,150406,19807,2,-,-, 
20250415,TX     ,202504     ,150407,19808,2,-,-, 
20250415,TX     ,202504     ,150407,19809,4,-,-, 
20250415,TX     ,202504     ,150407,19810,2,-,-, 
20250415,TX     ,202504     ,150407,19808,2,-,-, 
20250415,TX     ,202504     ,150407,19809,2,-,-, 
20250415,TX     ,202504     ,150407,19809,6,-,-, 
20250415,TX     ,202504     ,150407,19809,2,-,-, 
20250415,TX     ,202504     ,150407,19808,2,-,-, 
20250415,TX     ,202504     ,150407,19808,2,-,-, 
