Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250324,TX     ,202504     ,150000,22179,116,-,-,*
20250324,TX     ,202504     ,150000,22178,2,-,-, 
20250324,TX     ,202504     ,150000,22177,2,-,-, 
20250324,TX     ,202504     ,150000,22178,2,-,-, 
20250324,TX     ,202504     ,150000,22179,4,-,-, 
20250324,TX     ,202504     ,150000,22179,4,-,-, 
20250324,TX     ,202504     ,150000,22179,2,-,-, 
20250324,TX     ,202504     ,150000,22175,2,-,-, 
20250324,TX     ,202504     ,150000,22174,2,-,-, 
20250324,TX     ,202504     ,150000,22169,2,-,-, 
20250324,TX     ,202504     ,150000,22169,2,-,-, 
20250324,TX     ,202504     ,150000,22165,2,-,-, 
20250324,TX     ,202504     ,150000,22179,2,-,-, 
20250324,TX     ,202504     ,150000,22178,2,-,-, 
20250324,TX     ,202504     ,150000,22168,2,-,-, 
20250324,TX     ,202504     ,150000,22168,2,-,-, 
20250324,TX     ,202504     ,150000,22167,2,-,-, 
20250324,TX     ,202504     ,150000,22166,2,-,-, 
20250324,TX     ,202504     ,150000,22165,2,-,-, 
20250324,TX     ,202504     ,150000,22165,2,-,-, 
20250324,TX     ,202504     ,150000,22177,4,-,-, 
20250324,TX     ,202504     ,150000,22178,2,-,-, 
20250324,TX     ,202504     ,150000,22167,2,-,-, 
20250324,TX     ,202504     ,150000,22178,2,-,-, 
20250324,TX     ,202504     ,150000,22179,2,-,-, 
20250324,TX     ,202504     ,150000,22180,2,-,-, 
20250324,TX     ,202504     ,150000,22181,8,-,-, 
20250324,TX     ,202504     ,150000,22182,4,-,-, 
20250324,TX     ,202504     ,150000,22183,12,-,-, 
20250324,TX     ,202504     ,150000,22184,6,-,-, 
20250324,TX     ,202504     ,150000,22185,6,-,-, 
20250324,TX     ,202504     ,150000,22186,8,-,-, 
20250324,TX     ,202504     ,150000,22187,14,-,-, 
20250324,TX     ,202504     ,150000,22182,2,-,-, 
20250324,TX     ,202504     ,150000,22185,4,-,-, 
20250324,TX     ,202504     ,150000,22187,2,-,-, 
20250324,TX     ,202504     ,150000,22187,8,-,-, 
20250324,TX     ,202504     ,150000,22187,2,-,-, 
20250324,TX     ,202504     ,150000,22171,2,-,-, 
20250324,TX     ,202504     ,150000,22171,2,-,-, 
20250324,TX     ,202504     ,150000,22170,2,-,-, 
20250324,TX     ,202504     ,150000,22182,2,-,-, 
20250324,TX     ,202504     ,150000,22173,2,-,-, 
20250324,TX     ,202504     ,150000,22173,2,-,-, 
20250324,TX     ,202504     ,150000,22186,4,-,-, 
20250324,TX     ,202504     ,150000,22187,2,-,-, 
20250324,TX     ,202504     ,150000,22188,4,-,-, 
20250324,TX     ,202504     ,150001,22178,2,-,-, 
20250324,TX     ,202504     ,150001,22175,2,-,-, 
20250324,TX     ,202504     ,150002,22173,2,-,-, 
20250324,TX     ,202504     ,150003,22174,2,-,-, 
20250324,TX     ,202504     ,150003,22174,10,-,-, 
20250324,TX     ,202504     ,150005,22171,2,-,-, 
20250324,TX     ,202504     ,150006,22171,2,-,-, 
20250324,TX     ,202504     ,150006,22171,2,-,-, 
20250324,TX     ,202504     ,150006,22174,2,-,-, 
20250324,TX     ,202504     ,150006,22173,2,-,-, 
20250324,TX     ,202504     ,150006,22172,2,-,-, 
20250324,TX     ,202504     ,150006,22172,2,-,-, 
20250324,TX     ,202504     ,150006,22171,2,-,-, 
20250324,TX     ,202504     ,150006,22171,2,-,-, 
20250324,TX     ,202504     ,150006,22176,2,-,-, 
20250324,TX     ,202504     ,150006,22177,4,-,-, 
20250324,TX     ,202504     ,150006,22177,2,-,-, 
20250324,TX     ,202504     ,150006,22177,2,-,-, 
20250324,TX     ,202504     ,150006,22176,4,-,-, 
20250324,TX     ,202504     ,150006,22176,2,-,-, 
20250324,TX     ,202504     ,150007,22177,2,-,-, 
20250324,TX     ,202504     ,150007,22177,2,-,-, 
20250324,TX     ,202504     ,150007,22175,4,-,-, 
20250324,TX     ,202504     ,150007,22175,2,-,-, 
20250324,TX     ,202504     ,150007,22175,2,-,-, 
20250324,TX     ,202504     ,150007,22176,2,-,-, 
20250324,TX     ,202504     ,150007,22178,2,-,-, 
20250324,TX     ,202504     ,150007,22178,2,-,-, 
20250324,TX     ,202504     ,150007,22179,6,-,-, 
20250324,TX     ,202504     ,150007,22180,2,-,-, 
20250324,TX     ,202504     ,150008,22180,6,-,-, 
20250324,TX     ,202504     ,150010,22179,2,-,-, 
20250324,TX     ,202504     ,150010,22179,2,-,-, 
20250324,TX     ,202504     ,150010,22179,6,-,-, 
20250324,TX     ,202504     ,150010,22178,2,-,-, 
20250324,TX     ,202504     ,150010,22176,2,-,-, 
20250324,TX     ,202504     ,150010,22179,2,-,-, 
20250324,TX     ,202504     ,150011,22179,2,-,-, 
20250324,TX     ,202504     ,150011,22180,2,-,-, 
20250324,TX     ,202504     ,150013,22177,2,-,-, 
20250324,TX     ,202504     ,150014,22175,2,-,-, 
20250324,TX     ,202504     ,150014,22176,6,-,-, 
20250324,TX     ,202504     ,150015,22179,2,-,-, 
20250324,TX     ,202504     ,150015,22180,2,-,-, 
20250324,TX     ,202504     ,150015,22181,2,-,-, 
20250324,TX     ,202504     ,150017,22179,4,-,-, 
20250324,TX     ,202504     ,150017,22179,2,-,-, 
20250324,TX     ,202504     ,150017,22179,14,-,-, 
20250324,TX     ,202504     ,150017,22181,2,-,-, 
20250324,TX     ,202504     ,150018,22180,2,-,-, 
20250324,TX     ,202504     ,150018,22181,2,-,-, 
20250324,TX     ,202504     ,150018,22180,2,-,-, 
20250324,TX     ,202504     ,150018,22179,2,-,-, 
20250324,TX     ,202504     ,150019,22179,2,-,-, 
20250324,TX     ,202504     ,150020,22181,2,-,-, 
20250324,TX     ,202504     ,150020,22181,2,-,-, 
20250324,TX     ,202504     ,150020,22180,2,-,-, 
20250324,TX     ,202504     ,150020,22180,2,-,-, 
20250324,TX     ,202504     ,150023,22181,2,-,-, 
20250324,TX     ,202504     ,150023,22181,2,-,-, 
20250324,TX     ,202504     ,150023,22182,2,-,-, 
20250324,TX     ,202504     ,150023,22182,2,-,-, 
20250324,TX     ,202504     ,150024,22180,2,-,-, 
20250324,TX     ,202504     ,150024,22180,2,-,-, 
20250324,TX     ,202504     ,150025,22179,2,-,-, 
20250324,TX     ,202504     ,150026,22179,2,-,-, 
20250324,TX     ,202504     ,150026,22178,2,-,-, 
20250324,TX     ,202504     ,150026,22180,2,-,-, 
20250324,TX     ,202504     ,150026,22181,2,-,-, 
20250324,TX     ,202504     ,150027,22182,4,-,-, 
20250324,TX     ,202504     ,150029,22181,2,-,-, 
20250324,TX     ,202504     ,150029,22180,2,-,-, 
20250324,TX     ,202504     ,150031,22182,6,-,-, 
20250324,TX     ,202504     ,150032,22180,2,-,-, 
20250324,TX     ,202504     ,150032,22180,2,-,-, 
20250324,TX     ,202504     ,150032,22180,2,-,-, 
20250324,TX     ,202504     ,150032,22179,2,-,-, 
20250324,TX     ,202504     ,150032,22179,2,-,-, 
20250324,TX     ,202504     ,150032,22179,2,-,-, 
20250324,TX     ,202504     ,150032,22179,2,-,-, 
20250324,TX     ,202504     ,150032,22179,2,-,-, 
20250324,TX     ,202504     ,150032,22178,2,-,-, 
20250324,TX     ,202504     ,150032,22178,2,-,-, 
20250324,TX     ,202504     ,150032,22178,2,-,-, 
20250324,TX     ,202504     ,150033,22179,2,-,-, 
20250324,TX     ,202504     ,150033,22181,4,-,-, 
20250324,TX     ,202504     ,150033,22182,2,-,-, 
20250324,TX     ,202504     ,150033,22183,4,-,-, 
20250324,TX     ,202504     ,150033,22182,2,-,-, 
20250324,TX     ,202504     ,150034,22181,2,-,-, 
20250324,TX     ,202504     ,150034,22181,2,-,-, 
20250324,TX     ,202504     ,150039,22181,2,-,-, 
20250324,TX     ,202504     ,150039,22181,2,-,-, 
20250324,TX     ,202504     ,150039,22181,2,-,-, 
20250324,TX     ,202504     ,150039,22181,8,-,-, 
20250324,TX     ,202504     ,150039,22181,2,-,-, 
20250324,TX     ,202504     ,150040,22181,2,-,-, 
20250324,TX     ,202504     ,150042,22183,2,-,-, 
20250324,TX     ,202504     ,150043,22181,2,-,-, 
20250324,TX     ,202504     ,150045,22183,2,-,-, 
20250324,TX     ,202504     ,150045,22182,6,-,-, 
20250324,TX     ,202504     ,150046,22182,2,-,-, 
20250324,TX     ,202504     ,150046,22182,2,-,-, 
20250324,TX     ,202504     ,150050,22182,2,-,-, 
20250324,TX     ,202504     ,150050,22181,2,-,-, 
20250324,TX     ,202504     ,150052,22183,2,-,-, 
20250324,TX     ,202504     ,150100,22182,2,-,-, 
20250324,TX     ,202504     ,150100,22182,2,-,-, 
20250324,TX     ,202504     ,150100,22184,2,-,-, 
20250324,TX     ,202504     ,150100,22184,6,-,-, 
20250324,TX     ,202504     ,150100,22185,10,-,-, 
20250324,TX     ,202504     ,150100,22186,2,-,-, 
20250324,TX     ,202504     ,150100,22186,2,-,-, 
20250324,TX     ,202504     ,150100,22186,2,-,-, 
20250324,TX     ,202504     ,150100,22185,2,-,-, 
20250324,TX     ,202504     ,150103,22185,4,-,-, 
20250324,TX     ,202504     ,150104,22186,4,-,-, 
20250324,TX     ,202504     ,150104,22187,4,-,-, 
20250324,TX     ,202504     ,150104,22187,2,-,-, 
20250324,TX     ,202504     ,150105,22185,2,-,-, 
20250324,TX     ,202504     ,150105,22187,6,-,-, 
20250324,TX     ,202504     ,150106,22187,2,-,-, 
20250324,TX     ,202504     ,150107,22185,2,-,-, 
20250324,TX     ,202504     ,150107,22185,6,-,-, 
20250324,TX     ,202504     ,150107,22185,2,-,-, 
20250324,TX     ,202504     ,150107,22185,2,-,-, 
20250324,TX     ,202504     ,150107,22185,2,-,-, 
20250324,TX     ,202504     ,150107,22186,4,-,-, 
20250324,TX     ,202504     ,150107,22186,2,-,-, 
20250324,TX     ,202504     ,150109,22186,2,-,-, 
20250324,TX     ,202504     ,150109,22186,2,-,-, 
20250324,TX     ,202504     ,150110,22185,2,-,-, 
20250324,TX     ,202504     ,150111,22188,4,-,-, 
20250324,TX     ,202504     ,150111,22188,2,-,-, 
20250324,TX     ,202504     ,150112,22187,2,-,-, 
20250324,TX     ,202504     ,150112,22187,2,-,-, 
20250324,TX     ,202504     ,150113,22188,2,-,-, 
20250324,TX     ,202504     ,150113,22188,2,-,-, 
20250324,TX     ,202504     ,150114,22189,2,-,-, 
20250324,TX     ,202504     ,150115,22188,2,-,-, 
20250324,TX     ,202504     ,150115,22188,4,-,-, 
20250324,TX     ,202504     ,150116,22189,2,-,-, 
