Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250428,TX     ,202505     ,150000,20000,140,-,-,*
20250428,TX     ,202505     ,150000,19998,4,-,-, 
20250428,TX     ,202505     ,150000,20000,2,-,-, 
20250428,TX     ,202505     ,150000,20000,6,-,-, 
20250428,TX     ,202505     ,150000,19996,2,-,-, 
20250428,TX     ,202505     ,150000,20000,2,-,-, 
20250428,TX     ,202505     ,150000,20000,2,-,-, 
20250428,TX     ,202505     ,150001,20001,2,-,-, 
20250428,TX     ,202505     ,150001,20001,2,-,-, 
20250428,TX     ,202505     ,150001,19996,2,-,-, 
20250428,TX     ,202505     ,150001,19997,2,-,-, 
20250428,TX     ,202505     ,150001,20000,2,-,-, 
20250428,TX     ,202505     ,150001,20001,2,-,-, 
20250428,TX     ,202505     ,150001,19998,2,-,-, 
20250428,TX     ,202505     ,150001,20001,2,-,-, 
20250428,TX     ,202505     ,150001,20002,2,-,-, 
20250428,TX     ,202505     ,150002,20000,2,-,-, 
20250428,TX     ,202505     ,150002,19996,2,-,-, 
20250428,TX     ,202505     ,150002,20001,2,-,-, 
20250428,TX     ,202505     ,150002,20001,2,-,-, 
20250428,TX     ,202505     ,150002,20002,2,-,-, 
20250428,TX     ,202505     ,150002,20000,2,-,-, 
20250428,TX     ,202505     ,150002,20001,2,-,-, 
20250428,TX     ,202505     ,150002,20001,2,-,-, 
20250428,TX     ,202505     ,150003,19999,4,-,-, 
20250428,TX     ,202505     ,150003,20002,2,-,-, 
20250428,TX     ,202505     ,150003,20002,6,-,-, 
20250428,TX     ,202505     ,150003,20002,6,-,-, 
20250428,TX     ,202505     ,150003,20002,2,-,-, 
20250428,TX     ,202505     ,150003,20003,4,-,-, 
20250428,TX     ,202505     ,150003,20003,2,-,-, 
20250428,TX     ,202505     ,150003,20004,4,-,-, 
20250428,TX     ,202505     ,150003,20001,2,-,-, 
20250428,TX     ,202505     ,150004,20000,2,-,-, 
20250428,TX     ,202505     ,150004,20001,2,-,-, 
20250428,TX     ,202505     ,150004,19997,2,-,-, 
20250428,TX     ,202505     ,150004,20001,2,-,-, 
20250428,TX     ,202505     ,150004,20000,2,-,-, 
20250428,TX     ,202505     ,150004,20002,4,-,-, 
20250428,TX     ,202505     ,150004,19998,2,-,-, 
20250428,TX     ,202505     ,150005,20001,2,-,-, 
20250428,TX     ,202505     ,150005,20003,6,-,-, 
20250428,TX     ,202505     ,150005,20004,2,-,-, 
20250428,TX     ,202505     ,150005,20000,2,-,-, 
20250428,TX     ,202505     ,150005,20004,2,-,-, 
20250428,TX     ,202505     ,150006,20004,2,-,-, 
20250428,TX     ,202505     ,150006,20005,2,-,-, 
20250428,TX     ,202505     ,150006,20004,2,-,-, 
20250428,TX     ,202505     ,150006,20005,12,-,-, 
20250428,TX     ,202505     ,150006,20002,2,-,-, 
20250428,TX     ,202505     ,150006,20004,2,-,-, 
20250428,TX     ,202505     ,150007,20003,4,-,-, 
20250428,TX     ,202505     ,150007,20002,2,-,-, 
20250428,TX     ,202505     ,150007,20004,2,-,-, 
20250428,TX     ,202505     ,150008,20002,2,-,-, 
20250428,TX     ,202505     ,150008,20002,4,-,-, 
20250428,TX     ,202505     ,150008,20001,2,-,-, 
20250428,TX     ,202505     ,150008,20001,2,-,-, 
20250428,TX     ,202505     ,150008,20000,4,-,-, 
20250428,TX     ,202505     ,150008,20000,2,-,-, 
20250428,TX     ,202505     ,150008,20001,4,-,-, 
20250428,TX     ,202505     ,150008,20000,2,-,-, 
20250428,TX     ,202505     ,150008,20000,2,-,-, 
20250428,TX     ,202505     ,150009,20002,2,-,-, 
20250428,TX     ,202505     ,150009,20001,2,-,-, 
20250428,TX     ,202505     ,150009,20000,2,-,-, 
20250428,TX     ,202505     ,150009,19999,4,-,-, 
20250428,TX     ,202505     ,150009,19998,2,-,-, 
20250428,TX     ,202505     ,150009,20001,2,-,-, 
20250428,TX     ,202505     ,150009,20000,6,-,-, 
20250428,TX     ,202505     ,150009,20001,2,-,-, 
20250428,TX     ,202505     ,150009,20002,4,-,-, 
20250428,TX     ,202505     ,150009,20001,2,-,-, 
20250428,TX     ,202505     ,150010,20000,2,-,-, 
20250428,TX     ,202505     ,150010,20004,4,-,-, 
20250428,TX     ,202505     ,150010,20004,2,-,-, 
20250428,TX     ,202505     ,150011,20002,2,-,-, 
20250428,TX     ,202505     ,150011,20002,2,-,-, 
20250428,TX     ,202505     ,150012,20004,2,-,-, 
20250428,TX     ,202505     ,150012,20005,4,-,-, 
20250428,TX     ,202505     ,150012,20003,2,-,-, 
20250428,TX     ,202505     ,150012,20005,2,-,-, 
20250428,TX     ,202505     ,150012,20006,12,-,-, 
20250428,TX     ,202505     ,150012,20007,6,-,-, 
20250428,TX     ,202505     ,150012,20008,6,-,-, 
20250428,TX     ,202505     ,150012,20008,6,-,-, 
20250428,TX     ,202505     ,150012,20005,4,-,-, 
20250428,TX     ,202505     ,150013,20004,2,-,-, 
20250428,TX     ,202505     ,150013,20003,2,-,-, 
20250428,TX     ,202505     ,150013,20003,2,-,-, 
20250428,TX     ,202505     ,150013,20002,2,-,-, 
20250428,TX     ,202505     ,150013,20004,2,-,-, 
20250428,TX     ,202505     ,150013,20003,2,-,-, 
20250428,TX     ,202505     ,150013,20004,2,-,-, 
20250428,TX     ,202505     ,150014,20004,2,-,-, 
20250428,TX     ,202505     ,150014,20004,4,-,-, 
20250428,TX     ,202505     ,150014,20006,6,-,-, 
20250428,TX     ,202505     ,150014,20007,4,-,-, 
20250428,TX     ,202505     ,150014,20008,2,-,-, 
20250428,TX     ,202505     ,150014,20008,6,-,-, 
20250428,TX     ,202505     ,150015,20005,2,-,-, 
20250428,TX     ,202505     ,150015,20005,2,-,-, 
20250428,TX     ,202505     ,150015,20004,2,-,-, 
20250428,TX     ,202505     ,150015,20004,2,-,-, 
20250428,TX     ,202505     ,150015,20004,2,-,-, 
20250428,TX     ,202505     ,150016,20005,2,-,-, 
20250428,TX     ,202505     ,150018,20004,2,-,-, 
20250428,TX     ,202505     ,150018,20004,2,-,-, 
20250428,TX     ,202505     ,150019,20006,4,-,-, 
20250428,TX     ,202505     ,150019,20007,4,-,-, 
20250428,TX     ,202505     ,150020,20008,2,-,-, 
20250428,TX     ,202505     ,150020,20008,2,-,-, 
20250428,TX     ,202505     ,150020,20008,2,-,-, 
20250428,TX     ,202505     ,150020,20005,2,-,-, 
20250428,TX     ,202505     ,150021,20006,2,-,-, 
20250428,TX     ,202505     ,150021,20005,2,-,-, 
20250428,TX     ,202505     ,150021,20005,2,-,-, 
20250428,TX     ,202505     ,150021,20008,2,-,-, 
20250428,TX     ,202505     ,150021,20008,2,-,-, 
20250428,TX     ,202505     ,150022,20006,2,-,-, 
20250428,TX     ,202505     ,150022,20006,2,-,-, 
20250428,TX     ,202505     ,150022,20006,2,-,-, 
20250428,TX     ,202505     ,150022,20005,2,-,-, 
20250428,TX     ,202505     ,150022,20005,2,-,-, 
20250428,TX     ,202505     ,150022,20005,2,-,-, 
20250428,TX     ,202505     ,150023,20009,2,-,-, 
20250428,TX     ,202505     ,150023,20006,2,-,-, 
20250428,TX     ,202505     ,150023,20007,2,-,-, 
20250428,TX     ,202505     ,150023,20008,4,-,-, 
20250428,TX     ,202505     ,150023,20008,4,-,-, 
20250428,TX     ,202505     ,150023,20006,2,-,-, 
20250428,TX     ,202505     ,150023,20006,2,-,-, 
20250428,TX     ,202505     ,150023,20006,2,-,-, 
20250428,TX     ,202505     ,150024,20007,2,-,-, 
20250428,TX     ,202505     ,150024,20007,2,-,-, 
20250428,TX     ,202505     ,150024,20007,2,-,-, 
20250428,TX     ,202505     ,150025,20007,4,-,-, 
20250428,TX     ,202505     ,150025,20008,6,-,-, 
20250428,TX     ,202505     ,150025,20007,2,-,-, 
20250428,TX     ,202505     ,150025,20005,2,-,-, 
20250428,TX     ,202505     ,150026,20008,2,-,-, 
20250428,TX     ,202505     ,150026,20008,2,-,-, 
20250428,TX     ,202505     ,150026,20009,4,-,-, 
20250428,TX     ,202505     ,150026,20008,2,-,-, 
20250428,TX     ,202505     ,150027,20009,2,-,-, 
20250428,TX     ,202505     ,150027,20010,4,-,-, 
20250428,TX     ,202505     ,150027,20010,2,-,-, 
20250428,TX     ,202505     ,150028,20009,4,-,-, 
20250428,TX     ,202505     ,150028,20008,2,-,-, 
20250428,TX     ,202505     ,150028,20008,4,-,-, 
20250428,TX     ,202505     ,150028,20007,2,-,-, 
20250428,TX     ,202505     ,150028,20008,2,-,-, 
20250428,TX     ,202505     ,150028,20007,2,-,-, 
20250428,TX     ,202505     ,150028,20007,2,-,-, 
20250428,TX     ,202505     ,150028,20007,2,-,-, 
20250428,TX     ,202505     ,150028,20008,2,-,-, 
20250428,TX     ,202505     ,150029,20008,2,-,-, 
20250428,TX     ,202505     ,150030,20008,2,-,-, 
20250428,TX     ,202505     ,150030,20007,2,-,-, 
20250428,TX     ,202505     ,150031,20006,2,-,-, 
20250428,TX     ,202505     ,150031,20006,2,-,-, 
20250428,TX     ,202505     ,150031,20007,2,-,-, 
20250428,TX     ,202505     ,150033,20007,2,-,-, 
20250428,TX     ,202505     ,150033,20005,2,-,-, 
20250428,TX     ,202505     ,150033,20005,2,-,-, 
20250428,TX     ,202505     ,150033,20005,2,-,-, 
20250428,TX     ,202505     ,150033,20004,2,-,-, 
20250428,TX     ,202505     ,150033,20004,2,-,-, 
20250428,TX     ,202505     ,150033,20004,2,-,-, 
20250428,TX     ,202505     ,150033,20004,2,-,-, 
20250428,TX     ,202505     ,150033,20004,4,-,-, 
20250428,TX     ,202505     ,150033,20003,2,-,-, 
20250428,TX     ,202505     ,150033,20003,2,-,-, 
20250428,TX     ,202505     ,150034,20006,2,-,-, 
20250428,TX     ,202505     ,150035,20004,2,-,-, 
20250428,TX     ,202505     ,150035,20007,2,-,-, 
20250428,TX     ,202505     ,150036,20006,2,-,-, 
20250428,TX     ,202505     ,150036,20005,2,-,-, 
20250428,TX     ,202505     ,150037,20007,2,-,-, 
20250428,TX     ,202505     ,150038,20006,2,-,-, 
20250428,TX     ,202505     ,150039,20005,2,-,-, 
20250428,TX     ,202505     ,150040,20004,2,-,-, 
20250428,TX     ,202505     ,150040,20006,2,-,-, 
20250428,TX     ,202505     ,150040,20004,2,-,-, 
20250428,TX     ,202505     ,150040,20007,2,-,-, 
20250428,TX     ,202505     ,150041,20004,2,-,-, 
20250428,TX     ,202505     ,150041,20006,2,-,-, 
20250428,TX     ,202505     ,150041,20006,2,-,-, 
20250428,TX     ,202505     ,150041,20006,2,-,-, 
20250428,TX     ,202505     ,150043,20007,2,-,-, 
20250428,TX     ,202505     ,150043,20007,8,-,-, 
