Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250217,TX     ,202502     ,150000,23542,176,-,-,*
20250217,TX     ,202502     ,150000,23542,4,-,-, 
20250217,TX     ,202502     ,150000,23541,2,-,-, 
20250217,TX     ,202502     ,150000,23541,2,-,-, 
20250217,TX     ,202502     ,150000,23540,2,-,-, 
20250217,TX     ,202502     ,150000,23540,2,-,-, 
20250217,TX     ,202502     ,150000,23539,2,-,-, 
20250217,TX     ,202502     ,150000,23539,2,-,-, 
20250217,TX     ,202502     ,150000,23538,4,-,-, 
20250217,TX     ,202502     ,150000,23537,2,-,-, 
20250217,TX     ,202502     ,150000,23537,2,-,-, 
20250217,TX     ,202502     ,150000,23541,4,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23543,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23543,2,-,-, 
20250217,TX     ,202502     ,150000,23537,2,-,-, 
20250217,TX     ,202502     ,150000,23537,2,-,-, 
20250217,TX     ,202502     ,150000,23537,2,-,-, 
20250217,TX     ,202502     ,150000,23536,2,-,-, 
20250217,TX     ,202502     ,150000,23536,2,-,-, 
20250217,TX     ,202502     ,150000,23536,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23543,6,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23541,2,-,-, 
20250217,TX     ,202502     ,150000,23544,4,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23544,4,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23545,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23546,8,-,-, 
20250217,TX     ,202502     ,150000,23543,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23543,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23546,2,-,-, 
20250217,TX     ,202502     ,150000,23540,2,-,-, 
20250217,TX     ,202502     ,150000,23539,2,-,-, 
20250217,TX     ,202502     ,150000,23546,6,-,-, 
20250217,TX     ,202502     ,150000,23547,2,-,-, 
20250217,TX     ,202502     ,150000,23547,2,-,-, 
20250217,TX     ,202502     ,150000,23547,2,-,-, 
20250217,TX     ,202502     ,150000,23548,8,-,-, 
20250217,TX     ,202502     ,150000,23548,2,-,-, 
20250217,TX     ,202502     ,150000,23548,8,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23550,10,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23539,2,-,-, 
20250217,TX     ,202502     ,150000,23539,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23542,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,4,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23549,4,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23548,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23548,2,-,-, 
20250217,TX     ,202502     ,150000,23549,4,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23550,6,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23550,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23549,2,-,-, 
20250217,TX     ,202502     ,150000,23550,6,-,-, 
20250217,TX     ,202502     ,150000,23550,10,-,-, 
20250217,TX     ,202502     ,150000,23550,6,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23551,2,-,-, 
20250217,TX     ,202502     ,150000,23550,4,-,-, 
20250217,TX     ,202502     ,150000,23551,2,-,-, 
20250217,TX     ,202502     ,150000,23544,2,-,-, 
20250217,TX     ,202502     ,150000,23547,2,-,-, 
20250217,TX     ,202502     ,150000,23547,2,-,-, 
20250217,TX     ,202502     ,150000,23551,4,-,-, 
20250217,TX     ,202502     ,150000,23551,2,-,-, 
20250217,TX     ,202502     ,150001,23551,2,-,-, 
20250217,TX     ,202502     ,150001,23544,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150001,23551,2,-,-, 
20250217,TX     ,202502     ,150001,23549,2,-,-, 
20250217,TX     ,202502     ,150001,23549,4,-,-, 
20250217,TX     ,202502     ,150001,23550,2,-,-, 
20250217,TX     ,202502     ,150001,23550,2,-,-, 
20250217,TX     ,202502     ,150001,23547,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150001,23547,2,-,-, 
20250217,TX     ,202502     ,150001,23549,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150001,23549,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150001,23545,4,-,-, 
20250217,TX     ,202502     ,150001,23550,4,-,-, 
20250217,TX     ,202502     ,150001,23544,2,-,-, 
20250217,TX     ,202502     ,150001,23548,2,-,-, 
20250217,TX     ,202502     ,150001,23550,2,-,-, 
20250217,TX     ,202502     ,150001,23550,2,-,-, 
20250217,TX     ,202502     ,150001,23551,2,-,-, 
20250217,TX     ,202502     ,150001,23551,2,-,-, 
20250217,TX     ,202502     ,150001,23543,2,-,-, 
20250217,TX     ,202502     ,150002,23550,2,-,-, 
20250217,TX     ,202502     ,150002,23551,4,-,-, 
20250217,TX     ,202502     ,150002,23543,2,-,-, 
20250217,TX     ,202502     ,150002,23542,2,-,-, 
20250217,TX     ,202502     ,150002,23545,2,-,-, 
20250217,TX     ,202502     ,150002,23543,2,-,-, 
20250217,TX     ,202502     ,150002,23542,2,-,-, 
20250217,TX     ,202502     ,150002,23547,2,-,-, 
20250217,TX     ,202502     ,150002,23546,2,-,-, 
20250217,TX     ,202502     ,150003,23542,2,-,-, 
20250217,TX     ,202502     ,150003,23542,2,-,-, 
20250217,TX     ,202502     ,150003,23544,2,-,-, 
20250217,TX     ,202502     ,150003,23542,2,-,-, 
20250217,TX     ,202502     ,150003,23546,2,-,-, 
20250217,TX     ,202502     ,150003,23546,2,-,-, 
20250217,TX     ,202502     ,150004,23542,14,-,-, 
20250217,TX     ,202502     ,150004,23542,2,-,-, 
20250217,TX     ,202502     ,150004,23539,2,-,-, 
20250217,TX     ,202502     ,150004,23539,2,-,-, 
20250217,TX     ,202502     ,150004,23542,2,-,-, 
20250217,TX     ,202502     ,150005,23539,2,-,-, 
