Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250207,TX     ,202502     ,150000,23431,70,-,-,*
20250207,TX     ,202502     ,150000,23432,2,-,-, 
20250207,TX     ,202502     ,150000,23433,2,-,-, 
20250207,TX     ,202502     ,150000,23433,2,-,-, 
20250207,TX     ,202502     ,150000,23431,2,-,-, 
20250207,TX     ,202502     ,150000,23431,2,-,-, 
20250207,TX     ,202502     ,150000,23434,4,-,-, 
20250207,TX     ,202502     ,150000,23434,2,-,-, 
20250207,TX     ,202502     ,150000,23435,2,-,-, 
20250207,TX     ,202502     ,150000,23435,2,-,-, 
20250207,TX     ,202502     ,150000,23436,2,-,-, 
20250207,TX     ,202502     ,150001,23437,2,-,-, 
20250207,TX     ,202502     ,150001,23433,2,-,-, 
20250207,TX     ,202502     ,150001,23433,2,-,-, 
20250207,TX     ,202502     ,150001,23433,2,-,-, 
20250207,TX     ,202502     ,150001,23432,2,-,-, 
20250207,TX     ,202502     ,150001,23435,2,-,-, 
20250207,TX     ,202502     ,150001,23431,2,-,-, 
20250207,TX     ,202502     ,150001,23430,2,-,-, 
20250207,TX     ,202502     ,150001,23430,2,-,-, 
20250207,TX     ,202502     ,150001,23430,2,-,-, 
20250207,TX     ,202502     ,150001,23430,2,-,-, 
20250207,TX     ,202502     ,150002,23434,2,-,-, 
20250207,TX     ,202502     ,150002,23431,2,-,-, 
20250207,TX     ,202502     ,150004,23432,2,-,-, 
20250207,TX     ,202502     ,150005,23431,2,-,-, 
20250207,TX     ,202502     ,150005,23431,2,-,-, 
20250207,TX     ,202502     ,150006,23436,2,-,-, 
20250207,TX     ,202502     ,150007,23436,2,-,-, 
20250207,TX     ,202502     ,150007,23437,2,-,-, 
20250207,TX     ,202502     ,150007,23436,2,-,-, 
20250207,TX     ,202502     ,150007,23433,2,-,-, 
20250207,TX     ,202502     ,150007,23432,2,-,-, 
20250207,TX     ,202502     ,150008,23431,2,-,-, 
20250207,TX     ,202502     ,150009,23431,2,-,-, 
20250207,TX     ,202502     ,150009,23431,2,-,-, 
20250207,TX     ,202502     ,150009,23431,2,-,-, 
20250207,TX     ,202502     ,150010,23432,4,-,-, 
20250207,TX     ,202502     ,150011,23435,2,-,-, 
20250207,TX     ,202502     ,150013,23435,2,-,-, 
20250207,TX     ,202502     ,150013,23431,2,-,-, 
20250207,TX     ,202502     ,150015,23435,2,-,-, 
20250207,TX     ,202502     ,150016,23435,2,-,-, 
20250207,TX     ,202502     ,150016,23432,2,-,-, 
20250207,TX     ,202502     ,150016,23431,2,-,-, 
20250207,TX     ,202502     ,150017,23435,4,-,-, 
20250207,TX     ,202502     ,150018,23436,2,-,-, 
20250207,TX     ,202502     ,150021,23433,2,-,-, 
20250207,TX     ,202502     ,150021,23435,2,-,-, 
20250207,TX     ,202502     ,150021,23434,2,-,-, 
20250207,TX     ,202502     ,150022,23435,2,-,-, 
20250207,TX     ,202502     ,150023,23436,2,-,-, 
20250207,TX     ,202502     ,150024,23436,2,-,-, 
20250207,TX     ,202502     ,150024,23435,2,-,-, 
20250207,TX     ,202502     ,150024,23435,2,-,-, 
20250207,TX     ,202502     ,150026,23437,2,-,-, 
20250207,TX     ,202502     ,150027,23436,2,-,-, 
20250207,TX     ,202502     ,150028,23437,2,-,-, 
20250207,TX     ,202502     ,150031,23437,2,-,-, 
20250207,TX     ,202502     ,150032,23435,2,-,-, 
20250207,TX     ,202502     ,150035,23437,10,-,-, 
20250207,TX     ,202502     ,150035,23438,10,-,-, 
20250207,TX     ,202502     ,150037,23436,4,-,-, 
20250207,TX     ,202502     ,150037,23438,2,-,-, 
20250207,TX     ,202502     ,150043,23439,10,-,-, 
20250207,TX     ,202502     ,150043,23440,10,-,-, 
20250207,TX     ,202502     ,150043,23440,2,-,-, 
20250207,TX     ,202502     ,150044,23440,2,-,-, 
20250207,TX     ,202502     ,150044,23438,2,-,-, 
20250207,TX     ,202502     ,150045,23436,2,-,-, 
20250207,TX     ,202502     ,150045,23437,2,-,-, 
20250207,TX     ,202502     ,150045,23436,2,-,-, 
20250207,TX     ,202502     ,150050,23438,2,-,-, 
20250207,TX     ,202502     ,150052,23436,2,-,-, 
20250207,TX     ,202502     ,150052,23435,2,-,-, 
20250207,TX     ,202502     ,150052,23435,2,-,-, 
20250207,TX     ,202502     ,150056,23436,2,-,-, 
20250207,TX     ,202502     ,150056,23435,6,-,-, 
20250207,TX     ,202502     ,150056,23435,4,-,-, 
20250207,TX     ,202502     ,150056,23435,2,-,-, 
