Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250218,TX     ,202502     ,150000,23672,152,-,-,*
20250218,TX     ,202502     ,150000,23672,2,-,-, 
20250218,TX     ,202502     ,150000,23670,2,-,-, 
20250218,TX     ,202502     ,150000,23670,2,-,-, 
20250218,TX     ,202502     ,150000,23670,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23674,2,-,-, 
20250218,TX     ,202502     ,150000,23674,2,-,-, 
20250218,TX     ,202502     ,150000,23674,4,-,-, 
20250218,TX     ,202502     ,150000,23675,10,-,-, 
20250218,TX     ,202502     ,150000,23676,2,-,-, 
20250218,TX     ,202502     ,150000,23669,2,-,-, 
20250218,TX     ,202502     ,150000,23669,2,-,-, 
20250218,TX     ,202502     ,150000,23676,2,-,-, 
20250218,TX     ,202502     ,150000,23677,6,-,-, 
20250218,TX     ,202502     ,150000,23677,4,-,-, 
20250218,TX     ,202502     ,150000,23678,4,-,-, 
20250218,TX     ,202502     ,150000,23678,2,-,-, 
20250218,TX     ,202502     ,150000,23679,6,-,-, 
20250218,TX     ,202502     ,150000,23679,2,-,-, 
20250218,TX     ,202502     ,150000,23680,6,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23670,2,-,-, 
20250218,TX     ,202502     ,150000,23670,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23673,4,-,-, 
20250218,TX     ,202502     ,150000,23674,2,-,-, 
20250218,TX     ,202502     ,150000,23676,2,-,-, 
20250218,TX     ,202502     ,150000,23676,2,-,-, 
20250218,TX     ,202502     ,150000,23678,6,-,-, 
20250218,TX     ,202502     ,150000,23679,4,-,-, 
20250218,TX     ,202502     ,150000,23680,30,-,-, 
20250218,TX     ,202502     ,150000,23675,2,-,-, 
20250218,TX     ,202502     ,150000,23672,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23672,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23680,2,-,-, 
20250218,TX     ,202502     ,150000,23680,2,-,-, 
20250218,TX     ,202502     ,150000,23680,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23679,2,-,-, 
20250218,TX     ,202502     ,150000,23675,2,-,-, 
20250218,TX     ,202502     ,150000,23679,2,-,-, 
20250218,TX     ,202502     ,150000,23680,2,-,-, 
20250218,TX     ,202502     ,150000,23674,2,-,-, 
20250218,TX     ,202502     ,150000,23673,2,-,-, 
20250218,TX     ,202502     ,150000,23672,2,-,-, 
20250218,TX     ,202502     ,150000,23672,2,-,-, 
20250218,TX     ,202502     ,150000,23680,4,-,-, 
20250218,TX     ,202502     ,150000,23680,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23682,4,-,-, 
20250218,TX     ,202502     ,150000,23683,2,-,-, 
20250218,TX     ,202502     ,150000,23684,4,-,-, 
20250218,TX     ,202502     ,150000,23683,2,-,-, 
20250218,TX     ,202502     ,150000,23684,2,-,-, 
20250218,TX     ,202502     ,150000,23684,2,-,-, 
20250218,TX     ,202502     ,150000,23678,2,-,-, 
20250218,TX     ,202502     ,150000,23681,2,-,-, 
20250218,TX     ,202502     ,150000,23674,2,-,-, 
20250218,TX     ,202502     ,150000,23683,2,-,-, 
20250218,TX     ,202502     ,150000,23684,2,-,-, 
20250218,TX     ,202502     ,150000,23684,4,-,-, 
