Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20241230,TX     ,202501     ,150000,23150,116,-,-,*
20241230,TX     ,202501     ,150000,23155,2,-,-, 
20241230,TX     ,202501     ,150000,23150,2,-,-, 
20241230,TX     ,202501     ,150000,23150,2,-,-, 
20241230,TX     ,202501     ,150000,23150,2,-,-, 
20241230,TX     ,202501     ,150000,23149,2,-,-, 
20241230,TX     ,202501     ,150000,23149,2,-,-, 
20241230,TX     ,202501     ,150000,23148,2,-,-, 
20241230,TX     ,202501     ,150000,23148,2,-,-, 
20241230,TX     ,202501     ,150000,23147,2,-,-, 
20241230,TX     ,202501     ,150000,23149,2,-,-, 
20241230,TX     ,202501     ,150000,23149,2,-,-, 
20241230,TX     ,202501     ,150000,23145,2,-,-, 
20241230,TX     ,202501     ,150000,23146,2,-,-, 
20241230,TX     ,202501     ,150000,23146,2,-,-, 
20241230,TX     ,202501     ,150000,23145,2,-,-, 
20241230,TX     ,202501     ,150000,23141,2,-,-, 
20241230,TX     ,202501     ,150000,23140,2,-,-, 
20241230,TX     ,202501     ,150000,23140,2,-,-, 
20241230,TX     ,202501     ,150000,23140,2,-,-, 
20241230,TX     ,202501     ,150000,23150,2,-,-, 
20241230,TX     ,202501     ,150000,23147,2,-,-, 
20241230,TX     ,202501     ,150000,23144,2,-,-, 
20241230,TX     ,202501     ,150000,23140,2,-,-, 
20241230,TX     ,202501     ,150000,23140,4,-,-, 
20241230,TX     ,202501     ,150000,23138,2,-,-, 
20241230,TX     ,202501     ,150000,23138,2,-,-, 
20241230,TX     ,202501     ,150000,23136,4,-,-, 
20241230,TX     ,202501     ,150000,23136,2,-,-, 
20241230,TX     ,202501     ,150000,23135,2,-,-, 
20241230,TX     ,202501     ,150000,23135,2,-,-, 
20241230,TX     ,202501     ,150000,23134,2,-,-, 
20241230,TX     ,202501     ,150000,23133,4,-,-, 
20241230,TX     ,202501     ,150000,23157,2,-,-, 
20241230,TX     ,202501     ,150000,23134,2,-,-, 
20241230,TX     ,202501     ,150000,23135,2,-,-, 
20241230,TX     ,202501     ,150000,23135,2,-,-, 
20241230,TX     ,202501     ,150000,23133,4,-,-, 
20241230,TX     ,202501     ,150000,23133,2,-,-, 
20241230,TX     ,202501     ,150000,23132,6,-,-, 
20241230,TX     ,202501     ,150000,23132,2,-,-, 
20241230,TX     ,202501     ,150000,23132,2,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23159,4,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23145,2,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23130,2,-,-, 
20241230,TX     ,202501     ,150000,23150,2,-,-, 
20241230,TX     ,202501     ,150000,23157,2,-,-, 
20241230,TX     ,202501     ,150000,23134,2,-,-, 
20241230,TX     ,202501     ,150000,23137,2,-,-, 
20241230,TX     ,202501     ,150000,23132,2,-,-, 
20241230,TX     ,202501     ,150000,23131,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23128,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23126,2,-,-, 
20241230,TX     ,202501     ,150000,23126,2,-,-, 
20241230,TX     ,202501     ,150000,23126,2,-,-, 
20241230,TX     ,202501     ,150000,23125,6,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23125,2,-,-, 
20241230,TX     ,202501     ,150000,23124,4,-,-, 
20241230,TX     ,202501     ,150000,23124,8,-,-, 
20241230,TX     ,202501     ,150000,23121,4,-,-, 
20241230,TX     ,202501     ,150000,23120,2,-,-, 
20241230,TX     ,202501     ,150000,23120,2,-,-, 
20241230,TX     ,202501     ,150000,23120,2,-,-, 
20241230,TX     ,202501     ,150000,23118,2,-,-, 
20241230,TX     ,202501     ,150000,23118,2,-,-, 
20241230,TX     ,202501     ,150000,23118,4,-,-, 
20241230,TX     ,202501     ,150000,23118,2,-,-, 
20241230,TX     ,202501     ,150000,23118,2,-,-, 
20241230,TX     ,202501     ,150000,23117,2,-,-, 
20241230,TX     ,202501     ,150000,23117,2,-,-, 
20241230,TX     ,202501     ,150000,23116,2,-,-, 
20241230,TX     ,202501     ,150000,23116,2,-,-, 
20241230,TX     ,202501     ,150000,23116,2,-,-, 
20241230,TX     ,202501     ,150000,23114,2,-,-, 
20241230,TX     ,202501     ,150000,23114,2,-,-, 
20241230,TX     ,202501     ,150000,23113,2,-,-, 
20241230,TX     ,202501     ,150000,23113,2,-,-, 
